,average_price,last_price,buy_trades_count,sell_trades_count,trades_count_imb,base_volume,quote_volume,mean_gas,mean_gas_price,mean_gas_value
2023-08-02 23:11:00+00:00,1841.3741330700445,1842.8433445715968,1.0,3,0.75,9.073509046233422,16717.449649000002,185705.75,20.215958527999998,0.0037406664803957762
2023-08-02 23:12:00+00:00,1841.3116812888536,1840.6009917468411,2.0,1,0.3333333333333333,75.97514018642201,139893.531409,347119.0,20.273517226666666,0.006870672354483541
2023-08-02 23:13:00+00:00,1840.6338909832255,1840.6049711149244,3.0,0,0.0,8.69109815963801,15997.538505,170788.33333333334,20.986957824,0.0036065040144889174
2023-08-02 23:14:00+00:00,1842.4531778497262,1842.448509920548,0.0,2,1.0,1.058506731068854,1950.25175,190267.5,20.235928576,0.003858335877805056
2023-08-02 23:15:00+00:00,1842.711664351054,1842.4429506712374,1.0,4,0.8,3.365372861622663,6198.560967,255221.2,22.583413964800002,0.005772050061235814
2023-08-02 23:16:00+00:00,1842.028397593103,1848.0501241725283,2.0,2,0.5,1.0627930319036571,1955.125662,245923.5,20.904775168,0.0051483208812416
2023-08-02 23:17:00+00:00,1844.3204893810275,1848.0645597085252,1.0,1,0.5,2.221930458926898,4090.443184,199693.5,20.86587392,0.004160803421059072
2023-08-02 23:18:00+00:00,1840.8820154042671,1837.2299081161877,2.0,1,0.3333333333333333,1.131701415615466,2091.057656,249741.66666666666,20.347686229333334,0.005082199978443434
2023-08-02 23:19:00+00:00,1841.6936256082336,1837.1343755705639,3.0,2,0.4,13.638434802423848,25099.6756,212161.8,22.271105024,0.00473238000920617
2023-08-02 23:20:00+00:00,1841.1151440132664,1842.2356814432621,3.0,3,0.5,3.9906863908937797,7344.949874,277111.3333333333,21.628030293333335,0.005956914476972032
2023-08-02 23:21:00+00:00,1839.5373956786839,1840.0071797645837,5.0,0,0.0,34.2034297966668,62937.392519,198632.2,24.7530995712,0.0054508857956233215
2023-08-02 23:22:00+00:00,1843.733904462234,1847.8879173083249,1.0,1,0.5,25.87463330884678,47603.573143,181404.0,17.660137472000002,0.003192098568409088
2023-08-02 23:23:00+00:00,1841.256356522843,1847.9566901189833,3.0,2,0.4,26.991317535218638,49644.380876,179867.2,20.6579929088,0.0037262848417579006
2023-08-02 23:24:00+00:00,1842.1353946266913,1838.9530722317572,1.0,3,0.75,8.47865099699471,15598.555682999999,198437.75,21.497853952,0.00427662770728448
2023-08-02 23:25:00+00:00,1838.826019268724,1840.7694835944733,1.0,1,0.5,3.1634455077977788,5821.689147,192656.0,21.113408512,0.004063556592299008
2023-08-02 23:26:00+00:00,1840.8839629817269,1838.8443744094573,2.0,2,0.5,16.280535156442706,29931.993455,393378.75,24.718137344,0.009432880913629696
2023-08-02 23:27:00+00:00,,,0.0,0,,0.0,0.0,,,
2023-08-02 23:28:00+00:00,1847.3518640080651,1847.3518640080651,0.0,1,1.0,0.1229841079149219,227.194921,241553.0,20.69634048,0.00499926313196544
2023-08-02 23:29:00+00:00,1840.08143993195,1847.3020100559495,4.0,2,0.3333333333333333,9.583284810019169,17630.47523,188567.66666666666,19.478524928000002,0.0036760437498845866
2023-08-02 23:30:00+00:00,1841.8433111945137,1840.684433437464,1.0,3,0.75,11.601008091896336,21355.027308,231892.75,20.98226432,0.004915304548621312
2023-08-02 23:31:00+00:00,1843.1467237002444,1838.9121105354304,1.0,1,0.5,2.430290306357257,4470.109042,180386.0,22.550481920000003,0.00408091159338496
2023-08-02 23:32:00+00:00,1840.7703469087821,1840.7703469087821,0.0,1,1.0,4.346006558305577,8000.0,178495.0,22.450868224,0.00400736772364288
2023-08-02 23:33:00+00:00,1838.4878145354758,1836.0923522101343,2.0,2,0.5,2.4231316802503504,4455.384044,198034.75,22.376288256000002,0.0044940992669614075
2023-08-02 23:34:00+00:00,1842.4457766966273,1840.8425910365927,1.0,4,0.8,1.7722501535333823,3265.5820670000003,221974.6,19.758553088,0.004376637505811661
2023-08-02 23:35:00+00:00,1840.0952199474937,1840.8506296238431,2.0,3,0.6,4.400136052930659,8096.162515,215464.0,18.7935862784,0.004074163787810407
2023-08-02 23:36:00+00:00,1842.2665272541478,1838.7173557920403,3.0,2,0.4,32.73305813145841,60190.428328,175774.8,18.327701503999997,0.003209349846336307
2023-08-02 23:37:00+00:00,1838.2447778849828,1836.1364368548882,2.0,2,0.5,1.9417646710877947,3568.8153389999998,228123.0,17.374391296,0.003960489097199104
2023-08-02 23:38:00+00:00,1841.4470449717703,1846.9477785654121,1.0,1,0.5,1.0335908853415334,1900.0,175295.5,17.48705536,0.003068235869865472
2023-08-02 23:39:00+00:00,1840.2065693578093,1838.359445189668,3.0,2,0.4,9.721898516409436,17876.106015,214254.6,18.6532960256,0.003959464001234944
2023-08-02 23:40:00+00:00,1838.3151474374934,1838.3151474374934,1.0,0,0.0,4.2231914102551755,7763.55674,316732.0,19.643920384,0.006221858191065088
2023-08-02 23:41:00+00:00,1843.0729680131587,1846.980706219597,1.0,3,0.75,4.113941712254768,7565.449613,209257.0,17.797261824,0.003782474221518336
2023-08-02 23:42:00+00:00,1838.0714855365447,1838.0714855365447,1.0,0,0.0,20.632103885736495,37923.281839,150545.0,15.036338176,0.00226364553070592
2023-08-02 23:43:00+00:00,1840.4857195441032,1839.7891511882756,1.0,4,0.8,5.03500051468478,9268.102642,235130.8,18.882816,0.004441674476599296
2023-08-02 23:44:00+00:00,1837.5007706827005,1835.9500364909184,4.0,1,0.2,3.4851636935382677,6405.493159,230583.8,25.7659142144,0.005464940935214694
2023-08-02 23:45:00+00:00,1840.5379835938695,1837.759597920825,4.0,3,0.42857142857142855,11.392515040027153,20955.396293,192364.2857142857,20.339090578285713,0.003949972220433555
2023-08-02 23:46:00+00:00,1840.9626309440564,1847.342684085963,2.0,1,0.3333333333333333,0.9128354552803413,1678.089107,201622.66666666666,19.727818752,0.003978787903277738
2023-08-02 23:47:00+00:00,1839.6203622494268,1839.6333265725912,0.0,3,1.0,1.5243769259684639,2804.2745529999997,222219.66666666666,19.511004501333332,0.004361676946548054
2023-08-02 23:48:00+00:00,1839.0442782610644,1837.839454367549,1.0,2,0.6666666666666666,3.2976729891048264,6065.637231,223729.66666666666,19.20876817066667,0.004300027506498901
2023-08-02 23:49:00+00:00,1840.4698616075675,1839.6718623491531,2.0,3,0.6,1.5447787462542446,2841.001032,304818.4,21.405018521600002,0.00657919558364078
2023-08-02 23:50:00+00:00,1836.9950968444,1837.8349577120498,2.0,0,0.0,1.8600382143715692,3416.348948,175969.0,30.446426111999997,0.005580508935098368
2023-08-02 23:51:00+00:00,1836.9956874615364,1837.7284132269042,3.0,0,0.0,15.325021679699198,28150.788027000002,204703.0,31.582337023999997,0.0066824618001326075
2023-08-02 23:52:00+00:00,1839.0343604922036,1839.5053788005664,1.0,3,0.75,2.358230268439913,4336.930312,248695.5,23.89486848,0.005925952393291264
2023-08-02 23:53:00+00:00,1838.6547944387871,1837.7522884542607,2.0,2,0.5,5.168110044642954,9505.929003,182285.75,19.950444032,0.003639812480195072
2023-08-02 23:54:00+00:00,1842.769393812231,1839.5971268184103,0.0,2,1.0,1.4604618669961678,2687.995,178230.0,19.271825408,0.00343481744246784
2023-08-02 23:55:00+00:00,1837.9764657715575,1839.6101909573147,2.0,2,0.5,6.126146981075277,11268.14221,250424.25,18.927818496,0.00479777248894464
2023-08-02 23:56:00+00:00,1841.8223398957407,1845.9759253774791,0.0,3,1.0,4.262003555632914,7846.284771000001,257355.0,17.180466517333333,0.004390440708388864
2023-08-02 23:57:00+00:00,1842.1349272478412,1840.6837681515842,2.0,8,0.8,67.49542857698856,124198.48511,198354.0,17.2219047936,0.0033996879684226045
